Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.018900104,999.0,0.0,0.0,1.0
20000,1.4189383,0.012690067,999.0,0.0,0.0,1.0
30000,1.4182439,0.03538886,999.0,-0.3125,-0.3125,1.0
40000,1.4181513,0.02572321,999.0,-1.4333333333333333,-1.4333333333333333,1.0
50000,1.4185098,0.03648776,999.0,0.0,0.0,1.0
60000,1.4186229,0.044796247,999.0,0.0,0.0,1.0
70000,1.418266,0.042953957,999.0,0.037262383848428726,0.037262383848428726,1.0
80000,1.4180686,0.030296832,999.0,-0.4,-0.4,1.0
90000,1.4184234,0.023367468,999.0,-0.1111111111111111,-0.1111111111111111,1.0
100000,1.4187101,0.03703221,999.0,0.0,0.0,1.0
110000,1.4178149,0.035979453,999.0,0.0,0.0,1.0
120000,1.4168185,0.040284846,999.0,0.0,0.0,1.0
130000,1.416856,0.027785098,999.0,0.0,0.0,1.0
140000,1.4169533,0.026712146,999.0,-1.1875,-1.1875,1.0
150000,1.4172387,0.029213317,999.0,-0.875,-0.875,1.0
160000,1.418033,0.03617555,999.0,0.0,0.0,1.0
170000,1.4179081,0.0019978806,999.0,-1.4667314324114058,-1.4667314324114058,1.0
180000,1.4172918,0.02100763,999.0,0.0,0.0,1.0
190000,1.4171095,0.030787544,999.0,0.0,0.0,1.0
200000,1.4145685,0.021643292,999.0,0.019837464888890585,0.019837464888890585,1.0
210000,1.4145685,-0.026476717,999.0,-0.5,-0.5,1.0
220000,1.4130563,0.016883101,999.0,0.0,0.0,1.0
230000,1.4130243,0.0069058826,999.0,-3.125,-3.125,1.0
240000,1.4132702,0.022465007,999.0,0.01986288825670878,0.01986288825670878,1.0
250000,1.4133188,0.028646821,999.0,0.0,0.0,1.0
260000,1.412972,0.02600656,999.0,0.0,0.0,1.0
270000,1.4128487,0.0051741875,999.0,0.0,0.0,1.0
280000,1.4125267,-0.01861704,999.0,-1.484223719437917,-1.484223719437917,1.0
290000,1.4123834,0.012890765,999.0,-0.3333333333333333,-0.3333333333333333,1.0
300000,1.4134713,-0.0069791256,999.0,-0.75,-0.75,1.0
310000,1.4143411,0.0258456,999.0,0.0,0.0,1.0
320000,1.4153194,0.02559114,999.0,0.0,0.0,1.0
330000,1.4164294,0.008794518,999.0,0.0,0.0,1.0
340000,1.4166256,0.017093575,999.0,0.0,0.0,1.0
350000,1.4169166,-0.0053794296,999.0,0.0,0.0,1.0
360000,1.4168795,0.014769222,999.0,-0.06666666666666667,-0.06666666666666667,1.0
370000,1.416794,0.007162667,999.0,-0.3333333333333333,-0.3333333333333333,1.0
